id,name,symbol,slug,date_added,price
2772,Digitex Futures,DGTX,digitex-futures,2018-05-23T00:00:00.000Z,0.0814315917412
2758,Unibright,UBT,unibright,2018-05-21T00:00:00.000Z,0.488237358219
2776,Travala.com,AVA,travala,2018-05-28T00:00:00.000Z,1.80260905842
3773,Fetch.ai,FET,fetch,2019-03-02T00:00:00.000Z,0.092735474691
4747,Velas,VLX,velas,2019-10-03T00:00:00.000Z,0.0518283394519
541,Syscoin,SYS,syscoin,2014-08-20T00:00:00.000Z,0.115420349073
1455,Golem,GNT,golem-network-tokens,2016-11-18T00:00:00.000Z,0.068788490137
1320,Ardor,ARDR,ardor,2016-07-23T00:00:00.000Z,0.0669887316053
2642,CyberVein,CVT,cybervein,2018-04-17T00:00:00.000Z,0.0618479055135
2300,WAX,WAXP,wax,2017-12-21T00:00:00.000Z,0.051494137333
1903,HyperCash,HC,hypercash,2017-08-20T00:00:00.000Z,1.43057927207
3701,RSK Infrastructure Framework,RIF,rsk-infrastructure-framework,2019-01-16T00:00:00.000Z,0.101538170774
4066,Chiliz,CHZ,chiliz,2019-07-01T00:00:00.000Z,0.0133643191667
1586,Ark,ARK,ark,2017-03-22T00:00:00.000Z,0.511711685366
3945,Harmony,ONE,harmony,2019-06-01T00:00:00.000Z,0.010040993819
5810,bZx Protocol,BZRX,bzx-protocol,2020-07-06T00:00:00.000Z,0.441955206137
3218,Energi,NRG,energi,2018-08-23T00:00:00.000Z,1.9021313375
1343,Stratis,STRAT,stratis,2016-08-12T00:00:00.000Z,0.58202712527
2299,aelf,ELF,aelf,2017-12-21T00:00:00.000Z,0.106534726661
4705,PAX Gold,PAXG,pax-gold,2019-09-26T00:00:00.000Z,2040.30533491
3581,Kleros,PNK,kleros,2018-11-01T00:00:00.000Z,0.105641210112
3704,v.systems,VSYS,v-systems,2019-03-05T00:00:00.000Z,0.0269034873427
1700,Aeternity,AE,aeternity,2017-06-01T00:00:00.000Z,0.172538406576
3783,Ankr,ANKR,ankr,2019-03-06T00:00:00.000Z,0.00939772789754
2137,Electroneum,ETN,electroneum,2017-11-02T00:00:00.000Z,0.00528533268513
3874,IRISnet,IRIS,irisnet,2019-04-18T00:00:00.000Z,0.0664883863864
2492,Elastos,ELA,elastos,2018-01-31T00:00:00.000Z,2.38656028961
1732,Numeraire,NMR,numeraire,2017-06-23T00:00:00.000Z,18.7708893819
2062,Aion,AION,aion,2017-10-18T00:00:00.000Z,0.114846061526
2603,Pundi X,NPXS,pundi-x,2018-03-22T00:00:00.000Z,0.000214535385691
1817,Voyager Token,VGX,voyager-token,2017-07-18T00:00:00.000Z,0.226135893542
2092,NULS,NULS,nuls,2017-10-25T00:00:00.000Z,0.531383701715
291,MaidSafeCoin,MAID,maidsafecoin,2014-04-28T00:00:00.000Z,0.103322677796
2467,OriginTrail,TRAC,origintrail,2018-01-25T00:00:00.000Z,0.144034543342
4078,Super Zero Protocol,SERO,super-zero-protocol,2019-07-19T00:00:00.000Z,0.161469139074
4134,Akropolis ,AKRO,akropolis,2019-07-19T00:00:00.000Z,0.0290506551515
2346,WaykiChain,WICC,waykichain,2018-01-09T00:00:00.000Z,0.234111486274
372,Bytecoin,BCN,bytecoin-bcn,2014-06-17T00:00:00.000Z,0.000239899221477
5426,Solana,SOL,solana,2020-04-10T00:00:00.000Z,2.50367654395
3012,VeThor Token,VTHO,vethor-token,2018-07-30T00:00:00.000Z,0.00160254624074
5117,Origin Protocol,OGN,origin-protocol,2020-01-09T00:00:00.000Z,0.375616461646
3628,MXC,MXC,mxc,2018-12-06T00:00:00.000Z,0.0170152260475
2132,Power Ledger,POWR,power-ledger,2017-11-01T00:00:00.000Z,0.0989236778833
2777,IoTeX,IOTX,iotex,2018-05-25T00:00:00.000Z,0.00858577535343
2320,Utrust,UTK,utrust,2017-12-29T00:00:00.000Z,0.092009910166
3724,SOLVE,SOLVE,solve,2019-02-04T00:00:00.000Z,0.120893989166
118,ReddCoin,RDD,reddcoin,2014-02-10T00:00:00.000Z,0.00138290492664
1772,Storj,STORJ,storj,2017-07-02T00:00:00.000Z,0.197900363007
4269,Gatechain Token,GT,gatechain-token,2019-08-20T00:00:00.000Z,0.550076346116
2916,Nimiq,NIM,nimiq,2018-07-10T00:00:00.000Z,0.00607994534374
3513,Fantom,FTM,fantom,2018-10-29T00:00:00.000Z,0.0182014303127
3835,Orbs,ORBS,orbs,2019-04-03T00:00:00.000Z,0.0175690578004
3702,Beam,BEAM,beam,2019-01-17T00:00:00.000Z,0.563557639596
2143,Streamr,DATA,streamr,2017-11-03T00:00:00.000Z,0.0560061081029
2606,Wanchain,WAN,wanchain,2018-03-23T00:00:00.000Z,0.302020065473
4206,WINk,WIN,wink-tronbet,2019-08-01T00:00:00.000Z,0.000118237059642
5034,Kusama,KSM,kusama,2019-12-12T00:00:00.000Z,12.4071880738
2989,STASIS EURO,EURS,stasis-euro,2018-07-30T00:00:00.000Z,1.14866916196
1750,GXChain,GXC,gxchain,2017-06-25T00:00:00.000Z,0.550395850543
1659,Gnosis,GNO,gnosis-gno,2017-05-01T00:00:00.000Z,32.2947428815
2441,Molecular Future,MOF,molecular-future,2018-01-20T00:00:00.000Z,0.415138324502
1925,Waltonchain,WTC,waltonchain,2017-08-27T00:00:00.000Z,0.491835443335
4862,DAD,DAD,dad,2019-10-31T00:00:00.000Z,0.2749250133
3822,Theta Fuel,TFUEL,theta-fuel,2019-03-28T00:00:00.000Z,0.00885150916838
3930,Thunder Token,TT,thunder-token,2019-05-10T00:00:00.000Z,0.00566703363903
1552,Melon,MLN,melon,2017-02-21T00:00:00.000Z,25.4209620951
2071,Request,REQ,request,2017-10-20T00:00:00.000Z,0.0396832789861
3814,Celer Network,CELR,celer-network,2019-03-25T00:00:00.000Z,0.00819887151569
3992,COTI,COTI,coti,2019-06-04T00:00:00.000Z,0.0546667525438
2638,Cortex,CTXC,cortex,2018-04-16T00:00:00.000Z,0.123318131274
2447,Crypterium,CRPT,crpt,2018-01-22T00:00:00.000Z,0.30960209996
2096,Ripio Credit Network,RCN,ripio-credit-network,2017-10-26T00:00:00.000Z,0.0587688302165
